#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
308,Hunter Renfroe,,97,408,18,49,56,1,7.90%,22.80%,0.204,0.277,0.245,0.308,0.448,0.324,104,-1.3,0.9,-7.8,0.7
309,Kolten Wong,,65,266,6,30,27,7,7.70%,18.60%,0.133,0.289,0.248,0.32,0.382,0.308,93,0.1,-2.1,0,0.7
310,Jesse Winker,,86,371,10,46,40,1,13.90%,19.80%,0.152,0.291,0.249,0.361,0.401,0.337,113,-2.3,3.6,-9.4,0.7
311,Miguel Andujar,OAK,71,297,9,32,34,3,7.10%,15.90%,0.152,0.292,0.266,0.321,0.418,0.318,106,-0.3,1.8,-5.2,0.7
312,Dominic Canzone,SEA,73,297,11,34,37,3,7.20%,20.90%,0.179,0.29,0.254,0.313,0.433,0.321,108,-0.7,2.1,-5.4,0.7
313,Enrique Hern�ndez,,92,379,9,41,40,2,7.70%,19.10%,0.143,0.278,0.241,0.306,0.385,0.301,89,-0.4,-5.7,-0.6,0.7
314,Manny Pi�a,,39,156,6,17,18,1,7.40%,20.90%,0.168,0.253,0.226,0.293,0.393,0.298,86,-0.6,-3.2,3.3,0.6
315,Masyn Winn,STL,53,204,5,23,22,5,7.40%,18.90%,0.134,0.286,0.246,0.307,0.38,0.3,89,0,-2.9,2.4,0.6
316,Alex Jackson,TBR,45,182,7,20,22,1,7.10%,31.50%,0.183,0.274,0.212,0.28,0.395,0.292,88,-0.4,-3.1,3.9,0.6
317,Xavier Edwards,MIA,47,190,2,21,17,6,9.30%,12.60%,0.091,0.309,0.276,0.347,0.367,0.316,97,-0.1,-0.9,0.7,0.6
318,Andruw Monasterio,MIL,81,318,5,33,30,6,10.30%,22.80%,0.108,0.31,0.244,0.328,0.352,0.303,88,-0.9,-5.6,1,0.6
319,Mauricio Dub�n,HOU,62,263,6,31,28,4,5.50%,15.10%,0.132,0.291,0.264,0.309,0.396,0.306,94,-0.3,-2.2,-0.5,0.6
320,Nick Allen,OAK,55,213,3,21,19,5,7.20%,16.90%,0.106,0.28,0.241,0.3,0.348,0.286,84,-0.1,-4.3,3.1,0.6
