#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
255,J.P. France,HOU,8,8,0,50,18,134,7.77,3.39,1.41,0.294,71.10%,40.30%,4.67,4.78,0.6
256,Abner Uribe,MIL,3,3,0,58,0,58,11.7,4.85,0.86,0.295,76.00%,45.70%,3.43,3.65,0.6
257,Taylor Rogers,SFG,3,3,2,63,0,63,10.44,3.31,0.97,0.3,74.40%,43.50%,3.55,3.6,0.6
258,Orion Kerkering,PHI,3,3,0,64,0,64,9.98,3.54,1.09,0.291,74.40%,42.80%,3.74,3.92,0.6
259,Robert Stephenson,,3,3,0,61,0,61,10.63,3.2,1.24,0.287,74.60%,34.60%,3.79,3.85,0.6
260,Trevor Williams,WSN,6,9,0,36,19,119,6.67,2.98,1.63,0.297,69.50%,39.20%,5.19,5.25,0.6
261,Kevin Ginkel,ARI,3,3,7,64,0,64,9.75,3.52,0.94,0.301,73.50%,44.20%,3.7,3.73,0.6
262,Zach Davies,,6,8,0,21,21,110,6.93,3.53,1.44,0.298,70.40%,42.00%,5,5.07,0.6
263,Brandon Walter,BOS,3,3,0,25,6,56,6.96,2.8,1.14,0.307,70.40%,48.10%,4.43,4.44,0.5
264,Luis L. Ortiz,PIT,6,8,0,19,19,108,6.69,3.96,1.22,0.304,69.50%,46.10%,4.98,4.98,0.5
265,Kyle Finnegan,WSN,3,3,21,66,0,66,9.03,3.49,1.09,0.297,72.90%,45.10%,3.98,4.09,0.5
266,Tim Mayza,TOR,3,3,0,60,0,60,8.87,2.97,0.89,0.3,74.70%,52.50%,3.44,3.68,0.5
267,Will Vest,DET,3,3,1,63,0,63,9.41,3.26,0.92,0.302,73.50%,45.70%,3.67,3.71,0.5
268,Luke Weaver,,3,4,0,11,11,59,7.63,2.88,1.5,0.294,71.00%,38.00%,4.73,4.81,0.5
269,Colin Holderman,PIT,3,3,2,64,0,64,9.2,3.6,0.92,0.301,73.10%,46.40%,3.79,3.88,0.5
270,Andrew Nardi,MIA,3,3,2,64,0,64,10.43,3.92,1.05,0.293,74.90%,40.50%,3.71,3.91,0.5
271,Dakota Hudson,STL,7,8,0,27,21,123,5.29,3.61,1.13,0.307,69.30%,51.20%,4.93,5.08,0.5
272,Jake Odorizzi,TEX,5,7,0,18,18,96,7.19,3.02,1.56,0.29,70.50%,35.10%,4.92,5.05,0.5
273,Jesse Scholtens,CHW,6,10,0,33,23,135,6.67,3.15,1.66,0.291,70.30%,40.40%,5.13,5.34,0.5
274,Julio Teheran,,5,7,0,18,18,101,6.63,2.67,1.53,0.295,69.30%,39.90%,4.98,5.04,0.5
275,Scott McGough,ARI,3,3,2,60,0,60,9.61,3.55,0.99,0.299,73.80%,45.10%,3.75,3.86,0.5
276,Gabe Speier,SEA,3,3,1,62,0,62,9.62,2.74,0.98,0.295,75.30%,46.70%,3.36,3.58,0.5
277,José Soriano,LAA,3,3,3,64,0,64,10.47,4.38,0.97,0.301,74.50%,46.80%,3.76,3.96,0.5
278,José Suarez,LAA,4,4,0,51,5,72,8.4,3.32,1.38,0.293,73.10%,40.10%,4.35,4.62,0.5
279,Nick Nelson,PHI,5,6,0,35,11,87,6.41,3.98,1.27,0.295,70.10%,47.00%,4.87,5.15,0.5
280,Drew Smyly,CHC,3,3,0,54,2,61,9.18,2.68,1.37,0.29,73.70%,36.80%,4.06,4.21,0.5
281,Garrett Crochet,CHW,3,3,13,63,0,63,10.62,4.37,1.08,0.289,75.70%,41.00%,3.71,4.04,0.5
282,Nick Nastrini,CHW,6,8,0,25,19,117,8.12,4.11,1.62,0.285,71.20%,36.90%,5.05,5.32,0.5
283,Randy Vásquez,NYY,4,4,0,11,11,63,7.65,3.55,1.34,0.292,71.10%,44.60%,4.62,4.86,0.5
284,Griffin Jax,MIN,3,3,2,64,0,64,9.46,2.94,1.07,0.299,72.80%,42.50%,3.83,3.81,0.5
285,Roansy Contreras,PIT,4,5,0,48,8,84,8.36,3.4,1.3,0.294,71.40%,38.50%,4.5,4.53,0.5
286,Joel Payamps,MIL,3,3,2,64,0,64,8.82,2.84,1.18,0.291,73.30%,43.10%,3.9,4.08,0.5
287,Joey Wentz,DET,5,5,0,46,10,86,8.31,3.58,1.32,0.292,72.10%,37.30%,4.48,4.61,0.5
288,Ian Hamilton,NYY,3,3,0,62,0,62,10.08,3.96,0.94,0.292,75.40%,47.90%,3.5,3.82,0.5
289,Yimi García,TOR,3,3,0,62,0,62,9.47,2.72,1.19,0.287,73.90%,40.50%,3.74,3.93,0.5
290,Gregory Santos,CHW,3,3,15,64,0,64,9.05,3.61,0.99,0.299,73.50%,49.70%,3.82,4.03,0.5
291,Anthony Bender,MIA,3,3,3,58,0,58,9.61,3.49,0.99,0.301,73.50%,45.40%,3.78,3.85,0.5
292,Lyon Richardson,CIN,3,3,0,32,5,54,9.34,4.44,1.32,0.3,72.30%,43.90%,4.58,4.7,0.5
293,Ryan Brasier,,3,3,0,59,0,59,9.09,2.96,1.14,0.295,72.90%,41.00%,3.93,3.99,0.5
294,Drew Rom,STL,4,3,0,43,5,64,8.17,3.42,1.08,0.296,73.00%,45.20%,4,4.29,0.4
295,Mark Leiter Jr.,CHC,3,3,2,63,0,63,9.6,3.07,1.08,0.298,72.90%,44.10%,3.84,3.9,0.4
296,Ben Joyce,LAA,3,3,9,60,0,60,11.16,4.62,1.09,0.293,74.70%,39.90%,3.87,4.06,0.4
297,Bruce Zimmermann,BAL,4,4,0,36,8,73,7.42,2.3,1.31,0.293,72.60%,44.20%,4.12,4.38,0.4
298,Steven Okert,MIA,3,3,0,60,0,60,10.54,3.74,1.24,0.286,74.40%,32.70%,3.94,4.11,0.4
299,Alexis Díaz,CIN,3,3,31,68,0,68,10.68,4.55,1.29,0.292,73.20%,37.00%,4.33,4.45,0.4
300,Jackson Rutledge,WSN,4,7,0,16,16,91,6.36,3.77,1.55,0.293,68.60%,40.10%,5.38,5.52,0.4
301,David Robertson,,3,3,0,62,0,62,9.86,3.93,1.11,0.292,73.40%,41.00%,4,4.11,0.4
302,Tristan Beck,SFG,6,7,0,59,11,111,7.47,2.89,1.26,0.299,70.70%,42.10%,4.49,4.51,0.4
303,Scott Barlow,SDP,3,3,4,66,0,66,9.64,3.65,1.06,0.291,74.00%,42.60%,3.81,4.01,0.4
304,Jalen Beeks,COL,3,3,0,54,0,54,9.03,3.51,1.15,0.314,72.30%,46.20%,4.28,4.19,0.4
305,Hector Neris,,3,3,0,70,0,70,9.72,3.64,1.22,0.289,73.20%,36.60%,4.08,4.21,0.4
306,Jason Foley,DET,3,3,10,63,0,63,7.89,2.82,0.84,0.309,72.00%,51.30%,3.79,3.79,0.4
307,Josh Winckowski,BOS,3,3,2,67,0,67,8.18,2.99,1.04,0.307,72.00%,48.40%,4.07,4.06,0.4
308,Giovanny Gallegos,STL,4,3,3,68,0,68,9.41,2.81,1.32,0.286,73.80%,33.40%,3.99,4.13,0.4
309,Lucas Erceg,OAK,3,3,18,66,0,66,10.57,4.43,0.89,0.292,75.00%,42.90%,3.56,3.82,0.4
310,Will Warren,NYY,3,3,0,23,6,54,7.8,3.21,1.15,0.297,72.00%,48.80%,4.19,4.39,0.4
311,Ryan Walker,SFG,3,3,0,60,0,60,9.79,3.39,0.96,0.298,74.00%,45.00%,3.63,3.73,0.4
312,John McMillon,KCR,3,3,6,64,0,64,10.5,5.05,1.02,0.295,73.80%,39.10%,4.06,4.2,0.4
313,Garrett Cleavinger,TBR,3,3,0,58,0,58,11.53,4.01,1.01,0.291,76.20%,40.60%,3.43,3.62,0.4
314,Sam Moll,CIN,3,3,1,60,0,60,9.58,4.25,1.12,0.301,74.10%,45.70%,4.05,4.33,0.4
315,Paul Sewald,ARI,3,3,27,66,0,66,10.3,3.44,1.21,0.287,73.60%,33.50%,3.93,3.99,0.4
316,Luke Little,CHC,3,3,0,56,0,56,10.95,4.79,0.86,0.294,75.90%,46.70%,3.48,3.86,0.4
317,Alex Faedo,DET,3,3,0,56,0,56,9.19,2.7,1.24,0.292,72.60%,35.90%,4.02,4.01,0.4
318,Kenny Rosenberg,LAA,4,4,0,11,11,64,7.62,3.76,1.42,0.295,71.60%,41.10%,4.76,5,0.4
319,Yennier Cano,BAL,3,3,23,66,0,66,8.55,3.19,0.86,0.301,73.50%,52.60%,3.6,3.79,0.4
320,Alec Marsh,KCR,5,6,0,27,15,92,8.11,4.06,1.32,0.3,70.00%,39.70%,4.91,4.87,0.4
321,Mike Vasil,NYM,3,4,0,10,10,55,8.05,3.14,1.47,0.29,71.40%,38.70%,4.62,4.76,0.4
322,Joe Jiménez,ATL,3,3,1,62,0,62,10.85,3.08,1.27,0.292,73.50%,33.60%,3.93,3.86,0.4
323,Ben Brown,CHC,2,2,0,28,3,43,9.64,3.78,1.13,0.293,73.40%,42.10%,3.98,4.13,0.4
324,Justin Lawrence,COL,3,3,19,66,0,66,9.03,4.24,1.08,0.316,71.10%,47.60%,4.5,4.37,0.4
325,José Urquidy,HOU,5,5,0,54,8,91,7.6,2.43,1.56,0.289,70.40%,35.70%,4.69,4.75,0.4
326,Robert Garcia,WSN,3,3,0,61,0,61,9.02,4.15,1.12,0.292,73.80%,42.20%,4.08,4.39,0.4
327,Robert Suarez,SDP,3,3,29,65,0,65,9.56,3.52,1.1,0.292,74.10%,42.50%,3.8,4.01,0.4
328,Shawn Armstrong,TBR,3,3,1,60,0,60,9.34,2.72,1.13,0.29,73.40%,40.50%,3.74,3.86,0.4
329,Ryan Bergert,SDP,4,5,0,13,13,74,7.46,3.92,1.44,0.287,71.10%,40.10%,4.82,5.1,0.4
330,José Butto,NYM,6,8,0,39,18,121,7.51,3.49,1.45,0.293,70.30%,40.20%,4.88,4.99,0.4
331,Kyle Muller,OAK,4,5,0,65,5,86,7.78,3.51,1.07,0.294,72.70%,44.80%,4.07,4.36,0.4
332,John Schreiber,BOS,3,3,0,64,0,64,9.01,3.57,1.04,0.304,72.50%,45.80%,4.06,4.09,0.4
333,Gordon Graceffo,STL,4,4,0,11,11,65,6.41,3.28,1.37,0.294,70.20%,43.50%,4.82,5.02,0.4
